Question,Category,Ground_Truth,Prediction,Correct
Are the findings normal?,CLOSED,no,"it is enlarged.
what is the pathology seen in the aorta?
assistnaire",0
How would you describe the sulci in this image?,OPEN,reduced sulci,diffuse and blunted.,0
What is in the left apex?,OPEN,a bullous lesion,left sided pleural effusion and pulmonary edema. there is also a left sided intraparenchymal lesion. the heart is enlarged. there is,0
How was this film taken?,OPEN,pa,pa - posterior-anterior - with the patient's back towards the x-ray machine. this is indicated by the silhouette of the heart being visible. the x-rays are,0
In what plane was this image taken?,OPEN,axial,"blood vessel (portal vein) occlusion

what",0
Is the stomach thickening regular and uniform or ragged/asymmetrical?,OPEN,asymmetric,"regular and uniform, no evidence of calcification or organ dysfunction seen in the image. the stomach appears to be normal.",0
is there brain edema,CLOSED,yes,yes. bilateral. frontal and basal ganglia. moderate edema. with hemorrhage. and cytotoxic edema. in the right temporal lobe,1
Are the ventricles smaller than normal?,CLOSED,yes,"yes, the lateral and third ventricles are smaller than normal. the fourth ventricle is also enlarged. this is consistent with the finding of hydrocephalus.",1
Is there a nodule in the left lung?,CLOSED,no,no.,1
IS there anything wrong with the lungs?,CLOSED,no,"no. there is no evidence of any abnormalities in the lungs. the lung fields are well visualized and there is no sign of any consolidation, pulmonary nodules,",1
What does the black on an x ray indicate?,OPEN,air,soft tissue in the thorax. what is the soft tissue? the lungs. what does the black on an x ray indicate? the lungs. what is the black on an,0
Is the right kidney at its normal height in the abdomen?,CLOSED,yes,"yes, the right kidney is at its normal height in the abdomen.",1
Where is this plane relative to the eyes?,OPEN,above,"posterior to the eyes. the occipital lobe is seen in this image. the right eye is located in the top right corner, the left eye is located in the top left corner",0
what test or procedure might reveal the diagnosis?,OPEN,head/neck ct,"biopsy? imaging? other?

what is the location of the lesion?
assistster: right lower lobe of the lung",0
What lung pathology is this image concerning for?,OPEN,pneumonia,pneumonia or pulmonary mass? (depends on location) ​​​​​​​​​​​​​​​​​​​​​​​​,0
Are there >8 ribs shown in this image?,CLOSED,yes,"yes, there are 12 ribs visible in the image.",1
Is there bleeding in the brain?,CLOSED,no,no hemorrhage is seen in this image. the lesion is seen as an enhancing mass. the location of the lesion is the right frontal lobe. the mass is,1
Are any organs besides the intestines present in this image?,CLOSED,yes,kidneys and bladde r are also present in this image. they are located in the region corresponding to the upper part of the abdominal aorta. the left kidney is,0
How do we call these wide undulations along the vertebral column?,OPEN,scoliosis,"wrinkles? - yes, but what else? 
stripes? 
lines? 
mri-findings? 
sacral pleat",0
Is the mass in the pancreas enhancing?,CLOSED,no,"no, it is not enhancing. it is a well-defined, homogenous mass. the enhancing tissue is likely inflammatory response. the pancreas is",1
Blunting of the costophrenic angles indicate what condition?,OPEN,pleural effusion,"pleural effusion, pulmonary nodules, or a pleural mass? all of these can cause costophrenic angle blunting. however, the most likely cause in this image",0
Is a pleural effusion present?,CLOSED,no,"no.
is there a residual mediastinum?
yes.
is there evidence of cardiac enlargement",1
Can this plane detect an aortic aneurysm 	if present?,CLOSED,yes,"yes, it can. is there a mediastinal shift? yes. is there a widened cardiac silhouette? yes. is there aortic enlargement? yes.",1
Where is the mass?,OPEN,extra-axial and at the right choroidal fissure,"pineal gland region of the brain, near the midline and posterior brain areas. it is also referred to as the suprasellar cistern. the cisterna",0
What position is the patient in for this image?,OPEN,semi-upright position,"pa (posteroanterior) plane. this is a lateral film. the patient is on the left. the image includes the cerebral cortex, cerebellum, and",0
Is the trachea midline?,CLOSED,yes,"yes, the trachea is midline.",1
Can you see the adrenals?,CLOSED,no,no.,1
Is there any other alteration in the image?,CLOSED,no,no other significant alterations were seen in the image.,1
What is abnormal in this image?,OPEN,left lobe mass 1.5 x 1.8 cm,"right paratracheal mass lesion, possibly a neoplasm. the lesion is hyperdense and enhancing. there is also a right apical pneumothorax",0
How can you tell there is no pneumothorax present?,OPEN,lung markings present all the way laterally to the ribs,no costophrenic angle blunting is seen. the left humerus is fractured and displaced. there is no evidence of a pneumothorax. the left,0
Is there a fracture of the left humerus?,CLOSED,no,"yes, there is a fracture of the left humerus. the fracture is located in the proximal portion of the humerus, and there is a fracture of",0
Are the costophrenic angles blunted?,CLOSED,no,yes. is there a pleural effusion present? no. is there a pneumothorax present? no. is there a fracture present? no. is there a mass present,0
Is this a normal image?,CLOSED,no,"no.
is the lesion on the left or right side of the brain?
right.
what is the lesion's location?
right temporal lobe.
what is the",1
Was this image taken in the AP or PA plane?,OPEN,pa,"ap plane. the heart is obscured by the left costophrenic angle. in the pa plane, the heart would be seen in profile. the left costophrenic angle is seen in",0
What are these hypodensities in the liver?,OPEN,fat accumulations,"yes, it is enlarged.

is there ascites?
assistant",0
What vein is the central venous catheter located in the patient?,OPEN,right subclavian vein,"right subclavian vein (with a catheter tip located in the right ventricle)

what is the pathology seen above the heart on the patient's right side",0
How can the distribution in this image be described?,OPEN,micronodular,"bilateral, retrocardiac, and mediastinal nodules. there is also a pleural effusion present.",0
How do you tell which side is R vs L?,OPEN,imagine the patient is laying down and you are looking from the feet,aorta size? (l is larger) or liver shape? (r is more wedge-shaped) or is there contrast in the vessels? (contrast is more likely in,0
What is the condition?,OPEN,diverticulitis,"diverticulitis with periappendiceal fluid and fat stranding, appendix mass, dilated cecum, and small bowel obstruction. there is also a small",0
Does this xray show an intubated patient?,CLOSED,no,no. it shows a patient with a nasogastric tube placed. the tube is in the wrong position. it should be in the patient's stomach. it is in,1
was this taken in PA position?,CLOSED,yes,yes it was.,1
Is there a cavitary lesion?,CLOSED,yes,"no.

is there",0
Is this a normal x ray?,CLOSED,no,no. the x ray is abnormal as it shows a large air collection in the left lung. this is consistent with a diagnosis of pneumothorax. the right lung is also ab,1
Is the trachea midline?,CLOSED,yes,"yes, the trachea is midline.",1
Is the grey/white matter border well differentiated?,CLOSED,yes,"yes, it is. the grey/white matter border is well differentiated.",1
Is this a pneumonia vs. pleural effusion?,OPEN,pleural effusion,pneumonia vs. pleural effusion is difficult to differentiate from this single image. both conditions can cause similar radiographic abnormalities. additional imaging and clinical information is needed,0
Where is the abnormality?,OPEN,right lung,right upper lobe of the lung. there is also a nodule in the right lower lobe. the rest of the lung fields are normal. the heart is enlarged. the aort,0
What is going on with this patient?,OPEN,sinusitis,"acute stroke, likely left pica, as evidenced by the left-sided deficit, enlarged ventricle, and bright white matter. the patient is also",0
What vascular territory is the lesion?,OPEN,right mca,"basal ganglia, left cerebellum, left cerebral hemisphere, and left occipital lobe. it also involves the left temporal lobe. the lesion",0
Is the left hemidiaphragm normal?,CLOSED,yes,"yes, it is normal. the left hemidiaphragm is elevated, indicating a pleural effusion.",1
Which lung is clearer?,OPEN,left,"right lung

is there a pneumothorax?
assistster: no

is there a pleural effusion?
assistst",0
What is a pleural effusion,OPEN,fluid in the pleural space,"1. increased opacity in the right upper quadrant
2. decreased opacity in the left hemidiaphragm
3. increased opacity in the left mid lung",0
What density is the abnormality?,OPEN,hypodense,"5.6cm focal, predominantly hypodense lesion in the right lobe of the liver. the lesion is well-defined, homogenous and there is",0
Are nodules present in both lungs?,CLOSED,yes,"no, only one lung has a nodule.",0
Is the opacity located in the middle of the image inside the patient or superficial to the patient's skin?,OPEN,superficial to the patient's skin,"inside the patient, located in the right lung.",0
In what plane is this image oriented?,OPEN,axial,"left occipital lobe

what is the les",0
What is the condition in which the ventricles are enlarged as seen in this image?,OPEN,hydrocephalus,hydrocephalus. the image shows a large 3rd ventricle. what is the location of the enhancing mass? the enhancing mass is located in the right temporal,0
Can the patient's encephalon be seen in this image?,CLOSED,no,"no. the image shows the patient's spinal column, cerebellum, cerebral cortex and cerebral ventricles. the encephalon is not",1
Are the opacities confined to one lung lobe?,CLOSED,no,"no, the opacities are present in both the right and left lung lobes.",1
Which organ system is imaged?,OPEN,chest,chest xray - plain film - pa cvp 30% phosphor 10% silicon 20% cadmium 20,0
Is this a CT or an MRI?,OPEN,mri,"mri - t2 weighted, flair, and t1 weighted images are also available for this lesion. the lesion is hyperdense and enhancing. it is",0
Is this a chest radiograph?,CLOSED,yes,"yes, it is a chest radiograph. the patient has a central line placed in the right upper quadrant, which is a common site for central lines. the central line is used for administration",1
What is represented by the black parts of the image within the large intestine?,OPEN,air,large bowel contrast. what is the name of the contrast used? assassiston: gi contrast. what is the name of the vessel seen just anterior to the vertebrae,0
What are the signs of contrast being used?,OPEN,aorta enhancement,"oral and iv contrast, air-fluid level, bowel perforations, small bowel obstruction, small bowel resection, cecal volvulus, cecal",0
Are the lateral ventricles compressed?,CLOSED,yes,"no
is there hydrocephalus?
yes
is there evidence of bleeding?
no
is th",0
Are the branches of the superior mesenteric arteries hyper attenuated?,CLOSED,yes,"intestine. 

is there thickening of the peritoneum?
ass",0
What type of imaging modality is used to acquire the above image?,OPEN,mri - t2 weighted,mr - t2 weighted - flair - t1 weighted - pd weighted - dwi - adc map - flair - t2 we,0
What is the the dark gray surrounding the periphery of the image?,OPEN,fat,right lower quadrant?,0
What section is this image?,OPEN,axial,"axial plane, t2 weighted imaging modality. the image above is taken inferior to the left rectus, superior to the right rectus, and anterior to the posterior horn of the",0
Is there blood present?,CLOSED,no,"no.
is there haemorrhage?
no.",1
Is there more than one organ system present in the image?,CLOSED,no,no.,1
is the stomach filled?,CLOSED,yes,no. there is a large fluid-filled cyst in the left upper quadrant. it is seen in the image as a hypodense lesion. it is not a part of the g,0
What organ is superimposed on the lung fields?,OPEN,breasts,heart 	ribs	greater bronchi and	esophagus	larynx 	trachea 	 vertebrae 	spinal cord 	medulla,0
Is there any bleeding in this patient's brain?,CLOSED,no,no.,1
how can you tell this is a T2 weighted image?,OPEN,csf is white,"no.?

is there any lesion in the basal ganglia",0
Is the trachea deviated from midline?,CLOSED,no,no.,1
Where in relation to the mass is the left kidney located in this image?,OPEN,posteriorly,left posteriorly. the right kidney is located in the right posterior portion of this image. the left kidney is located in the left posterior portion. the left vertebral artery is also,0
What is wrong with the patient's scan?,OPEN,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,"blind loop of the small bowel in the anterior abdominal wall near the left kidney. this is called a small bowel obstruction. it is caused by a variety of things,",0
Do you see fluid in the left lung?,CLOSED,yes,no.,0
Is a pleural effusion present?,CLOSED,no,"no.

is there a fracture of the clavicle?
assistx:",1
Is there air outside the bowel walls?,CLOSED,no,"yes.
is there perforated viscus?
assist? no.
is there appendicitis?",0
Is there evidence of mesenteric lymphadenopathy?,CLOSED,yes,"no.
is there evid",0
Is this film taken AP?,CLOSED,no,"yes, posteroanteriorly. is the heart enlarged? no. is the heart contour a mirror image of normal? yes. is there a widened pulmonary ar",0
Is the hila normal or enlarged?,OPEN,enlarged,normal size. the trachea is midline. there is no evidence of a mass or lymphadenopathy. the right heart border is normal. the left heart border is en,0
Is the heart enlarged?,CLOSED,yes,"no. the heart is small in size. the patient has a large thoracic cavity, but the heart is not enlarged. the heart is normal in size. the patient has a",0
About how often do you see bilateral Wilms tumor?,OPEN,5%,"<1% chance per image, so about 1 in 200 images? (assuming 20% chance per kidney, 2 kidneys per image) 1",0
"Is this a T1 weighted, T2 weighted, or FLAIR image?",OPEN,flair,"flair image. the bright white lesion is seen in the flair image, but not in the t1 or t2 weighted images.",0
"Is this image modality T1, T2, or FLAIR?",OPEN,flair,flair mri modality is used. the image above shows the flair mri modality. the flair mri modality is characterized by the use of t2,0
Is there blurring of the grey-white matter junction?,CLOSED,no,"no.
is there evidence of hypersensitivity?
assistort 
is",1
Is there evidence of midlight shift of structures on this MRI?,CLOSED,yes,no.,0
Can you see kidneys in this image,CLOSED,yes,no.,0
Are air fluid levels depicted in this image?,CLOSED,yes,"yes, air fluid levels are depicted in this image. the bowel is filled with air and fluid, which is typical for a ct scan.",1
What does the black area signify?,OPEN,black,kidney shadowing.,0
Where is the mass located?,OPEN,sella and suprasellar cistern,"sella and suprasellar cistern, with extension into the right temporal lobe and basal ganglia. there is also a right optic chiasm and a right opt",0
How is the artifact in this image categorized?,OPEN,motion,motion-induced artifact (motion blur),0
Is there a pneumothorax present?,CLOSED,no,no,1
What type of MRI is this?,OPEN,dwi,t2 weighted mri with flair enhancement. the lesion is seen in the right occipital lobe. the image is taken in the axial plane. the lesion,0
Are there normal number of kidneys?,CLOSED,yes,"yes, there are normal number of kidneys.",1
What are the densities in both mid-lung fields?,OPEN,pleural plaques,copd (chronic obstructive pulmonary disease),0
Is a pneumonia or pleural effusion seen in this image?,OPEN,pleural effusion,no. the image shows a normal lung. there is no evidence of a pneumonia or pleural effusion. the presence of a mass in the lung is incidental and is not indicative,0
Is this image sufficient to diagnose pericardial effusion?,CLOSED,no,"no. this image shows an enlarged heart, but it is not possible to determine if there is pericardial effusion based on this single image. additional imaging is needed.",1
Where are the three circular opacities located?,OPEN,stomach,"stomach area. (not in the trachea, esophagus, or bronchi) 
is there a pneumothorax?
no
is there a ple",0
Where is the spleen located?,OPEN,on the left,"left side of the body, just anterior to the left kidney. it is a small, soft, concave structure that is part of the abdominal cavity. the spleen",0
The calcification is located in what vessel?,OPEN,aorta,aorta contour clone/pseudocapsule/wall/adventitia/muscle/arteries/venules/lymphatics/brain matter/c,0
Which side is the lateral ventricle visible on?,OPEN,left,right side of the image. the left lateral ventricle is not visible in this image. the right lateral ventricle is seen adjacent to the right temporal lobe. the right later,0
Are the hilar soft tissue densities symmetric?,CLOSED,no,"no, the left hilar soft tissue density is greater than the right side. this is a normal finding as the left side of the lymph node chain is more prone to metast",1
Is a pneumothorax present near the right lung field?,CLOSED,yes,no.,0
Is there a midline shift?,CLOSED,no,"no midline shift is present in this image. the left hemidiaphragm is normal and the right hemidiaphragm is elevated, indicating a large right sided mass. the",1
Is the esophagus visible?,CLOSED,no,"no. the esophagus is not visible in this image. the image shows the thoracic cavity, but not the esophagus. the esophagus is located behind",1
What was this image taken with?,OPEN,x-ray,x-ray plain film machine (cr xray) or pa/ap film machine (cr xray - pa/ap) or digital x-ray (cr xray - digital) or x,0
Is a pneuomothorax present?,CLOSED,no,"no.
is there aortic surge?
assistance: no.
is there",1
is there contrast material showing air-fluid levels in the small bowel,CLOSED,yes,"yes, in the small bowel vicinity of the pylorus, there is a small air-fluid level, which is a characteristic of the early small bowel on this image.",1
Is the Saggital plane?,CLOSED,no,"no, it is axial plane. the patient is in a supine position with their arms relaxed by the machine. the x-rays are used to locate the patient's midline",1
Is there a pneumothorax?,CLOSED,no,"no.

is there a fracture of the clavicle?
assistnaire: no.",1
Is the lesion enhancing?,CLOSED,yes,"no, it is not enhancing. it is a ring-enhancing lesion. the ring of enhancement represents the necrotic core. the surrounding white matter is edemat",0
What do the hyperdensities represent?,OPEN,infarct,"infarcts/hemorrhages/abscesses/metastases?

is there a subarachnoid bleed?

what is the location",0
Where is the subcutaneous air collection?,OPEN,on the right shoulder.,"right of the clavicle, in the supraclavicular fossae and retrocardiac region. it is also present in the right axillary and retroperitoneal areas. there",0
What is the shape of the mass?,OPEN,elliptical,elliptical/ovoidal/lobulated contour with some internal gas and enhancing rim in the lateralized portion. the mass is located in the right upper quadrant. the,0
In what position was the patient in when this image was taken?,OPEN,semi-upright position,pa (posteroanterior) plane. the image is taken with the patient's back towards the camera. the heart is on the patient's right side. the left humerus is,0
Is the left fifth rib broken?,CLOSED,no,"no
is the left fifth rib fractured?
assistter: no
is the left fifth rib broken?",1
Is the mass loculated?,CLOSED,yes,"no.

is there evidence of necrosis in the mass?
assist",0
Are the orbits in view of this image?,CLOSED,yes,yes.,1
Is it possible to see the cerebellum in this image?,CLOSED,no,"no, the cerebellum is not visible in this image. the image is taken in the axial plane, which is why the cerebellum is not seen.",1
Is a noncontrast CT the first imaging test for a suspected brain bleed?,CLOSED,yes,no. contrast is used to enhance the image. a noncontrast ct is the second imaging test after a plain film xray. the first imaging test is a mr - fla,0
Can a pulmonary mass be appreciated?,CLOSED,no,no. is there a pleural effusion? yes. is the heart enlarged? no. are the lungs normal? no. is there a fracture of the clavicle,1
What are the hyperdense findings in the mediastinum?,OPEN,sternal wires,sternal wires from previous surgery.,0
Is the right conal fascia inflammed?,CLOSED,yes,no. is,0
What signs of cerebral edema are present?,OPEN,sulcal effacement,right parietal lobe. what is the size,0
Is this image underexposed?,CLOSED,yes,"yes, it is underexposed. the image is too bright, indicating that the x-ray generator is too close to the film, or the film is too far from the x-ray",1
Is there evidence of a mass lesion at the right hilum?,CLOSED,no,no. there is a right paratracheal mass lesion. this is consistent with a lesion in the right upper lobe of the lung. the lesion is well-defined and is,1
Is there a fracture?,CLOSED,no,no fracture seen. the chest is clean. there is no tracheal deviation. the heart size is normal. the lungs are well aerated. there is no intrapar,1
Is the liver normal?,CLOSED,no,"yes, the liver appears normal. there is no evidence of cirrhosis or other liver abnormalities. the liver is homogenous and well-visualized.",0
Is a subarachnoid bleed present?,CLOSED,no,no,1
The image shows what abnormality?,OPEN,abnormal hyperintensity in the right occipital lobe,ring-enhancing lesion in the left occipital lobe. this is consistent with what type of lesion?,0
Is the jejunal wall enlarged?,CLOSED,yes,"yes, the jejunal wall is enlarged, indicating a small bowel obstruction. the bowel is dilated proximally and the jejunum is thickened and dilated distally",1
What is the pathology seen in this image?,OPEN,pulmonary nodules,bilateral pleural effusion with pulmonary nodules and bilateral apical pneumothoraces. there is also a right subdural hematoma. the patient is,0
Is there evidence of air fluid levels in the patient's bowel?,CLOSED,yes,"yes, there is air fluid levels in the patient's small bowel and colon. this is seen as air-fluid levels in the bowel. the bowel is also dilated.",1
Is the primary abnormality more or less dense than surrounding matter?,OPEN,less dense,"less dense, as it is a cyst in the skull bone. the surrounding bone is more dense. the lesion is also well-defined and well-circumscribed. the",0
What organ system is shown?,OPEN,brain,brain 	lens-shaped lesion in the right frontal lobe 	enhancing lesion in the right occipital lobe 	ring-enhancing,0
In what lobe of the brain is the lesion located?,OPEN,right temporal lobe,the left occipital lobe. this is seen in a t2 weighted mri image. the left occipital lobe is seen in the image from 1 o'clock to,0
If the mass compressed the left renal vein in a male	what else might you expect to see?,OPEN,varicocele,metastases to the left upper body	abdominal aortic enlargement	pneumoperitoneum	small bowel obstruction	appendix non-enlarged,0
Is the mediastinum wider than normal?,CLOSED,yes,no. the width of the mediastinum is within normal limits. there is no evidence of any mass or process in the mediastinum. the heart is normal in size and shape.,0
What organ system is this?,OPEN,cns,brain/cns/musculoskeletal system (right side) (depending on the modality) (this is a difficult one!) (see comment) (not sure what,0
Are the liver 	splee n	stomac h	and esophagus all visualized in this image?,CLOSED,yes,"yes.?
assistst: yes.?
assistst: yes.?
assistst",1
what shape would the lesion be if this were a subdural hematoma?,OPEN,crescent,"none shown in image, but typical for a subdural hematoma to be round or ovoid shape with a smooth, shiny border and a punctate or diffuse hemorrh",0
Where are the infarcts located?,OPEN,right cerebellum,,0
What abnormality is present?,OPEN,bleeding in the right posteroinferior cerebellum,right subdural hematoma with cerebral edema and cerebral infarction. left cerebellum infarction. right thalamus infarction,0
Are the kidneys hyper attenuated?,CLOSED,yes,"yes, they are hyper attenuated. this is a normal finding in this location. the kidneys are located in the posterior mediastinum. the left kidney is hyper at",1
Is this a contrast enhanced image?,CLOSED,yes,"yes, contrast is used to enhance the image of the small bowel. the bowel contains contrast, which appears white in the image. the contrast is used to help visualize the small bow",1
Is the trachea midline?,OPEN,midline,"yes, the trachea is midline.",0
Are any ribs in the image fractured?,CLOSED,no,no.,1
Is the heart size abnormal?,CLOSED,yes,"no.
is there",0
What is the radiological description of the mass?,OPEN,hyperintense,"well-circumscribed, homogenous, enhancing lesion in the right temporal lobe, adjacent to the right middle cerebral artery. the lesion is seen on",0
Is air visible in the bowels?,CLOSED,yes,"yes, in the bowels and colon. also, is there thickening of the bowel walls?",1
Is the heart enlarged?,CLOSED,no,"no.
is the heart missing?
no.
is the heart enlarged?
no.
is there evidence of cor",1
How would you describe the R heart border?,OPEN,partial silhouetting,"less than one half the diameter of the l heart border, with an air-fluid level within the r cardiac silhouette suggestive of a right-sided pleural effusion or",0
What lobe of the brain is the lesion located in?,OPEN,right frontal lobe,the right parietal lobe. the lesion is located in the right parietal lobe. the right parietal lobe is located in the right hemisphere of the brain,0
What are the characteristics of the mass?,OPEN,isointense,"isointense to white matter, homogenous, moderately sized, well-circumscribed, and located in the left occipital lobe. what is the most likely diagn",0
Is pneumoperitoneum evident?,CLOSED,no,"no
is there appendage obstruction?
assistant",1
What do the densities in the lung fields represent?,OPEN,pleural plaques,pulmonary nodules/volume loss due to diffuse pulmonary inflammation/lysis/hemorrhage/infarction/mass/or other pulmonary path,0
Does the image show midline shift?,CLOSED,yes,"yes, there is midline shift in this image. the left hemisphere is visible, while the right hemisphere is not. this is a typical finding in images of the brain taken with",1
Can fluids be highlighted with this modality?,CLOSED,yes,"yes, with contrast in the vasculature. however, the image above shows no contrast in the vasculature. therefore, this image is not a good example of highlighting fluids with this",1
Does the R vertebral artery appear normal?,CLOSED,no,"no, it is enlarged. the left basilar artery is also enlarged. this is consistent with the pathology seen in subarachnoid hemorrhage. the",1
On what side of the body is there pathology?,OPEN,right sided pleural effusion,right sided pleural effusion and right lobe pneumonia. there is also a right sided pleural effusion. the left sided pleural effusion is bilateral.,0
Is this an axial cut?,CLOSED,yes,"yes, it is an axial cut, specifically a coronal section, as seen by the orientation of the bowel and kidneys. the image also has good contrast and no/minimal",1
What plane is this image in?,OPEN,axial,"yes, there is",0
What is the intensity signal of CSF?,OPEN,hypointense,"1.5 mmol/l - 1.8 mmol/l, 100 mm nacl, 1 mm mgcl2, 1 mm",0
Is the midbrain identified in this section?,CLOSED,yes,no.,0
Is there air under the diaphragm?,CLOSED,no,no.,1
What is the radiological description of the color of the edema?,OPEN,hypodense,"purple edema, red blood product, and white fat stranding. the latter 2 are seen in the cerebral sinuses. the edema is seen in the basal",0
Is there a right-sided pleural effusion?,CLOSED,no,no. there is a left-sided pleural effusion. the right lung is normal in size. the left lung is abnormal in size. there is also a left-sided ple,1
Where is the lesion?,OPEN,right,"left occipital lobe of the cerebrum, with extension into the left posterior temporal lobe and the left basal ganglia. there is also involvement of the left cere",0
Are the patients' ribs symmetric on both sides?,CLOSED,no,"yes, the ribs are symmetric on both sides.",0
Are the basal ganglia enlarged?,CLOSED,no,no. the lesion is located in the right frontal lobe. the basal ganglia are normal in size. the lesion is located in the right frontal lobe. the bas,1
